chembl_id,canonical_smiles,standard_value
CHEMBL1277546,Cc1ccc(-n2c(-c3ccc(Cl)cc3)n[nH]c2=S)c(C)c1,170760.0
CHEMBL1277548,Cc1cccc(C)c1Nc1nnc(-c2ccccc2Cl)s1,313200.0
CHEMBL1277638,Cc1cccc(Nc2nnc(-c3ccc(Cl)cc3)s2)c1C,483550.0
CHEMBL1277639,Cc1ccc(Nc2nnc(-c3cccc([N+](=O)[O-])c3)s2)c(C)c1,398200.0
CHEMBL1275865,Cc1cccc(Nc2nnc(-c3ccccc3)s2)c1C,426100.0
CHEMBL1277640,Cc1cccc(C)c1Nc1nnc(-c2ccc(Cl)cc2)s1,214700.0
CHEMBL239452,NC(=S)N/N=C/c1ccccc1Cl,215.0
CHEMBL1269725,NC(=S)N/N=C/c1cccc(Cl)c1,670.0
CHEMBL391982,NC(=S)N/N=C/c1ccc(Cl)cc1,410.0
CHEMBL91844,N/C(S)=N/N=C/c1cccc(Br)c1,767.0
CHEMBL1910220,NC(=S)N/N=C/c1ccc(Br)cc1,707.0
CHEMBL193474,N/C(S)=N/N=C/c1cccc([N+](=O)[O-])c1,102.0
CHEMBL193804,N/C(S)=N/N=C/c1ccc([N+](=O)[O-])cc1,547.0
CHEMBL241894,COc1cccc(/C=N/NC(N)=S)c1,177.0
CHEMBL398206,COc1ccc(/C=N/NC(N)=S)cc1,887.0
CHEMBL499789,COc1cc(/C=N/NC(N)=S)cc(OC)c1OC,989.0
CHEMBL241902,CN(C)c1ccc(/C=N/NC(N)=S)cc1,127.0
CHEMBL1276230,NC(=S)N/N=C/C=C/c1ccccc1,457.0
CHEMBL1910221,NC(=S)N/N=C/c1ccccc1OCc1ccccc1,263.0
CHEMBL1910222,COc1ccc(/C=N/NC(N)=S)cc1OCc1ccccc1,330.0
CHEMBL242113,NC(=S)N/N=C/c1ccc(O)cc1,682.0
CHEMBL1910223,NC(=S)N/N=C/c1cccc(O)c1O,220.0
CHEMBL1910224,COc1cc(/C=N/NC(N)=S)cc(OC)c1O,233.0
CHEMBL1910225,C/C=C/C=N/NC(N)=S,746.0
CHEMBL260876,NC(N)=S,21000.0
CHEMBL1968195,Cc1cc(C)n(CN(Cn2nc(C)cc2C)C2CCCCC2)n1,43460.0
CHEMBL2235389,Cc1cc(C)n(CN(CCO)Cn2nc(C)cc2C)n1,44660.0
CHEMBL1828958,Cc1cc(C)n(CO)n1,94300.0
CHEMBL2285978,O=C1Nc2ccccc2/C1=N/NC(=S)Nc1c(F)cccc1F,33100.0
CHEMBL2285979,O=C1Nc2ccccc2/C1=N/NC(=S)Nc1ccc(F)cc1F,47600.0
CHEMBL2285980,O=C1Nc2ccccc2/C1=N/NC(=S)Nc1ccccc1F,20600.0
CHEMBL2285981,O=C1Nc2ccccc2/C1=N/NC(=S)Nc1ccc(OC(F)(F)F)cc1,20600.0
CHEMBL2285982,O=C1Nc2ccccc2/C1=N/NC(=S)Nc1cccc(C(F)(F)F)c1,20600.0
CHEMBL2285984,O=C1Nc2ccccc2/C1=N/NC(=S)Nc1ccccc1C(F)(F)F,33100.0
CHEMBL2285985,O=C1Nc2ccccc2/C1=N/NC(=S)Nc1cccc(F)c1,50600.0
CHEMBL1915702,O=C1Nc2ccccc2/C1=N/NC(=S)Nc1ccc(C(F)(F)F)cc1,50600.0
CHEMBL2285987,O=C1Nc2ccc(F)cc2/C1=N/NC(=S)Nc1cc(F)cc(F)c1,150700.0
CHEMBL2285989,O=C1Nc2ccc(F)cc2/C1=N/NC(=S)Nc1c(F)cccc1F,47300.0
CHEMBL2285991,O=C1Nc2ccc(F)cc2/C1=N/NC(=S)Nc1cccc(F)c1,45300.0
CHEMBL2285990,O=C1Nc2ccc(F)cc2/C1=N/NC(=S)Nc1ccccc1F,37700.0
CHEMBL2285993,O=C1Nc2ccc(F)cc2/C1=N/NC(=S)Nc1ccc(C(F)(F)F)cc1,90400.0
CHEMBL2285994,O=C1Nc2ccc(F)cc2/C1=N/NC(=S)Nc1cccc(C(F)(F)F)c1,59860.0
CHEMBL2285995,O=C1Nc2ccc(F)cc2/C1=N/NC(=S)Nc1ccccc1C(F)(F)F,50530.0
CHEMBL375922,O=C1Nc2ccc(F)cc2/C1=N/NC(=S)Nc1ccccc1,342930.0
CHEMBL2417806,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(=O)CSc4nnc(CN5CCN(c6ccccc6OC)CC5)n4-c4ccccc4)CC3)cc21,20.51
CHEMBL2436676,O=C(Nc1ccccc1)Nc1ccc(S(=O)(=O)Cl)cc1,120.69
CHEMBL3087542,O=C(NC(=S)NCc1ccccc1Cl)c1ccccc1,35280.0
CHEMBL3087541,O=C(NC(=S)Nc1ncccn1)c1ccccc1,8210.0
CHEMBL1555726,O=C(NC(=S)NC1CCCCC1)c1ccccc1,53200.0
CHEMBL1478462,O=C(NC(=S)NCc1ccccc1)c1ccccc1,27350.0
CHEMBL3087540,O=C(NC(=S)Nc1cccc(F)c1)c1ccccc1,3520.0
CHEMBL3087539,Cc1cc(C)c(NC(=S)NC(=O)c2ccccc2)c(C)c1,8110.0
CHEMBL3087538,O=C(NC(=S)Nc1ccc(F)cc1)c1ccccc1,41200.0
CHEMBL3087557,CCCCc1ccc(NC(=S)NC(=O)c2ccccc2)cc1,47200.0
CHEMBL3087556,O=C(NC(=S)Nc1ccc(C(F)(F)F)cc1)c1ccccc1,12200.0
CHEMBL3087555,O=C(NC(=S)Nc1ccccc1C(F)(F)F)c1ccccc1,38200.0
CHEMBL3087554,COc1cccc(NC(=S)NC(=O)c2ccccc2)c1,12800.0
CHEMBL3087553,Cc1ccc(NC(=S)NC(=O)c2ccccc2)cc1,6230.0
CHEMBL3087552,Cc1cccc(NC(=S)NC(=O)c2ccccc2)c1C,3170.0
CHEMBL3087551,O=C(NC(=S)Nc1cccc(C(F)(F)F)c1)c1ccccc1,39600.0
CHEMBL3087550,O=C(NC(=S)Nc1c(Cl)c(Cl)cc(Cl)c1Cl)c1ccccc1,74910.0
CHEMBL1974674,O=C(NC(=S)Nc1c(Cl)cc(Cl)cc1Cl)c1ccccc1,1670.0
CHEMBL3087549,O=C(NC(=S)Nc1cc(Cl)cc(Cl)c1)c1ccccc1,18400.0
CHEMBL3087548,O=C(NC(=S)Nc1ccc(Cl)c(Cl)c1)c1ccccc1,5510.0
CHEMBL3087547,O=C(NC(=S)Nc1c(Cl)cccc1Cl)c1ccccc1,4270.0
CHEMBL2236349,O=C(NC(=S)Nc1cc(Cl)ccc1Cl)c1ccccc1,4540.0
CHEMBL3087546,O=C(NC(=S)Nc1ccc(Cl)cc1Cl)c1ccccc1,13200.0
CHEMBL3087545,O=C(NC(=S)Nc1cccc(Cl)c1Cl)c1ccccc1,32200.0
CHEMBL1450561,O=C(NC(=S)Nc1ccc(Cl)cc1)c1ccccc1,35280.0
CHEMBL3087544,O=C(NC(=S)Nc1cccc(Cl)c1)c1ccccc1,27320.0
CHEMBL3087543,O=C(NC(=S)Nc1ccccc1Cl)c1ccccc1,41200.0
CHEMBL1834362,O=C(NC(=S)Nc1ccccc1)c1ccccc1,14100.0
CHEMBL1872118,S=C(NCc1ccncc1)Nc1ccccc1,32600.0
CHEMBL2391569,S=C(NCc1cccnc1)Nc1ccccc1,33500.0
CHEMBL3120556,Cc1nc(NC(=S)Nc2ccccc2)ccc1Br,82700.0
CHEMBL1558086,S=C(NCc1ccco1)Nc1ccccc1,32360.0
CHEMBL3120555,S=C(Nc1ccccc1)Nc1ncc(Cl)cc1Cl,37030.0
CHEMBL3120554,Cc1cccnc1NC(=S)Nc1ccccc1,25300.0
CHEMBL3120553,S=C(Nc1ccccc1)Nc1ccncc1,43930.0
CHEMBL3120552,S=C(Nc1ccccc1)Nc1cccnc1,8430.0
CHEMBL1971338,S=C(Nc1ccccc1)Nc1ccccn1,23360.0
CHEMBL1334348,COc1ccc(OC)c(NC(S)=Nc2ccccc2)c1,29930.0
CHEMBL3120551,Fc1ccc(NC(=S)Nc2ccccc2)c(F)c1,24300.0
CHEMBL1576403,S=C(Nc1ccccc1)Nc1cccc(Br)c1,18300.0
CHEMBL1304942,S=C(Nc1ccccc1)Nc1ccc(Br)cc1,34260.0
CHEMBL1436412,S=C(Nc1cccnc1)Nc1cccc(Cl)c1,24460.0
CHEMBL1500153,S=C(NCc1cccnc1)Nc1cccc(Cl)c1,23030.0
CHEMBL1400695,S=C(NCc1ccncc1)Nc1cccc(Cl)c1,22700.0
CHEMBL3120549,Cc1cccnc1NC(=S)Nc1cccc(Cl)c1,15900.0
CHEMBL3120548,Cc1ccc(NC(=S)Nc2cccc(Cl)c2)cc1,18600.0
CHEMBL3120574,Cc1cccc(NC(=S)Nc2cccc(Cl)c2)c1,15030.0
CHEMBL3120573,Cc1ccccc1NC(=S)Nc1cccc(Cl)c1,34400.0
CHEMBL3120572,Fc1ccc(NC(=S)Nc2cccc(Cl)c2)cc1F,16300.0
CHEMBL1544729,Fc1ccc(NC(S)=Nc2cccc(Cl)c2)cc1,19100.0
CHEMBL3120571,Cc1ccc(Cl)cc1NC(=S)Nc1cccc(Cl)c1,20100.0
CHEMBL3120570,S=C(Nc1cccc(Cl)c1)Nc1ccc(Cl)c(Cl)c1,11030.0
CHEMBL3120569,S=C(Nc1cccc(Cl)c1)Nc1ccc(Cl)cc1Cl,42200.0
CHEMBL3120568,S=C(Nc1cccc(Cl)c1)Nc1cccc(Cl)c1Cl,27100.0
CHEMBL3120567,S=C(Nc1cccc(Cl)c1)Nc1c(Cl)cccc1Cl,40960.0
CHEMBL3120566,Cc1ccc(C)c(NC(=S)Nc2cccc(Cl)c2)c1,20900.0
CHEMBL3120565,Cc1cccc(C)c1NC(=S)Nc1cccc(Cl)c1,27400.0
CHEMBL3120564,Cc1ccc(NC(=S)Nc2cccc(Cl)c2)c(C)c1,24100.0
CHEMBL3120563,COc1ccc(NC(=S)Nc2cccc(Cl)c2)cc1,29560.0
CHEMBL3120562,COc1cccc(NC(=S)Nc2cccc(Cl)c2)c1,24460.0
CHEMBL3120561,COc1ccccc1NC(=S)Nc1cccc(Cl)c1,20060.0
CHEMBL3120560,S=C(Nc1ccc(Cl)cc1)Nc1cccc(Cl)c1,20330.0
CHEMBL3120559,S=C(Nc1cccc(Cl)c1)Nc1ccccc1Cl,22200.0
CHEMBL3120558,S=C(Nc1cccc(Cl)c1)Nc1cccc(Cl)c1,20000.0
CHEMBL3344256,CC(C)[C@H](NC(=O)CNC(=O)OC(C)(C)C)C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1)C(C)C,295000.0
CHEMBL3344257,CC(C)[C@H](NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)OC(C)(C)C)C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1,255000.0
CHEMBL3344258,CC(C)[C@H](NC(=O)CNC(=O)Nc1ccccc1F)C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1)C(C)C,42000.0
CHEMBL3344246,CC(C)[C@H](NC(=O)CNC(=S)Nc1ccccc1F)C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1)C(C)C,40000.0
CHEMBL3344247,CC(C)[C@H](NC(=O)CNC(=O)Nc1cccc(F)c1)C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1)C(C)C,44000.0
CHEMBL3344248,CC(C)[C@H](NC(=O)CNC(=O)Nc1ccc(F)cc1)C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1)C(C)C,39000.0
CHEMBL3344249,CC(C)[C@H](NC(=O)CNC(=S)Nc1ccc(F)cc1)C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1)C(C)C,35000.0
CHEMBL3344250,COc1ccccc1NC(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1)C(C)C)C(C)C,22000.0
CHEMBL3344251,COc1ccccc1NC(=S)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1)C(C)C)C(C)C,20000.0
CHEMBL3344252,COc1cccc(NC(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N2CCN(c3nsc4ccccc34)CC2)C(C)C)C(C)C)c1,25000.0
CHEMBL3344253,COc1cccc(NC(=S)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N2CCN(c3nsc4ccccc34)CC2)C(C)C)C(C)C)c1,23000.0
CHEMBL3344254,COc1ccc(NC(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N2CCN(c3nsc4ccccc34)CC2)C(C)C)C(C)C)cc1,21000.0
CHEMBL3344255,COc1ccc(NC(=S)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N2CCN(c3nsc4ccccc34)CC2)C(C)C)C(C)C)cc1,18000.0
